gene,analysis,covariate,n_samples,mean_vst,spearman_rho,p_value,fdr,SYMBOL,GENENAME
AT1G69180,primary,leaf_auc,16,5.89977493183079,0.867518736658775,1.3434761106623286e-05,0.0026624471649093,CRC,"Putative transcription factor with zinc finger and helix-loop-helix domains, the later similar to HMG boxes. Involved in specifying abaxial cell fate in the carpel. Four putative LFY binding sites (CCANTG) and two potential binding sites for MADS box proteins known as CArG boxes (CC(A/T)6GG) were found in the region spanning 3.8 Kb upstream of the CRC coding region."
AT5G51480,primary,leaf_auc,16,5.989298443070536,0.8673284206305639,1.3563285763923687e-05,0.0026624471649093,SKS2,
AT2G38610,primary,leaf_auc,16,11.04921063301895,-0.8668140683709957,1.3915820391954016e-05,0.0026624471649093,KH9,
AT2G47880,primary,leaf_auc,16,8.377219717924639,0.8668140683709957,1.3915820391954016e-05,0.0026624471649093,CEPD2|ROXY9,
AT3G20720,primary,leaf_auc,16,10.41761284689253,0.8668140683709957,1.3915820391954016e-05,0.0026624471649093,,
AT3G62190,primary,leaf_auc,16,9.834308723452745,-0.8668140683709957,1.3915820391954016e-05,0.0026624471649093,,
AT4G17640,primary,leaf_auc,16,11.183410209685904,-0.8668140683709957,1.3915820391954016e-05,0.0026624471649093,CKB2,Encodes casein kinase II beta (regulatory) subunit.
AT4G22260,primary,leaf_auc,16,11.514315879120913,-0.8668140683709957,1.3915820391954016e-05,0.0026624471649093,IM|IM1|PTOX,"Similar to mitochondrial alternative oxidase.  im mutants have a variegated phenotype and fail to differentiate chloroplasts in the majority of their cells under high light intensity continuous illumination. The white tissues of immutans accumulate phytoene, a non-colored C40 carotenoid intermediate. This suggests that immutans controls, either directly or indirectly, the activity of phytoene desaturase (PDS), the enzyme that converts phytoene to zeta-carotene in higher plants. However, im is not the structural gene for PDS. It is located in the lumenar face of the thylakoid membrane. IM is expressed ubiquitously in plant tissues."
AT4G23420,primary,leaf_auc,16,7.364587944542796,-0.8668140683709957,1.3915820391954016e-05,0.0026624471649093,,
AT3G48360,primary,leaf_auc,16,7.630758376857658,-0.8653423976267326,1.4967314247620195e-05,0.0027954429062638,ATBT2|BT2,"encodes a protein (BT2) that is an essential component of the TAC1-mediated telomerase activation pathway. Acts redundantly with BT3 and BT1 during female gametophyte development and with BT3 during male gametophyte development. BT2 also mediates multiple responses to nutrients, stresses, and hormones."
AT3G50070,primary,leaf_auc,16,9.868293916661946,-0.8653423976267326,1.4967314247620195e-05,0.0027954429062638,CYCD3;3,"Encode CYCD3;3, a CYCD3 D-type cyclin.  Important for determining cell number in developing lateral organs.  Mediating cytokinin effects in apical growth and development."
AT4G24830,primary,leaf_auc,16,11.284124343238805,0.8653423976267326,1.4967314247620195e-05,0.0027954429062638,,
AT1G30490,primary,leaf_auc,16,11.3139738545376,-0.8638707268824695,1.608476468949183e-05,0.0028894867743344,ATHB9|PHV,"Dominant PHV mutations cause transformation of abaxial leaf fates into adaxial leaf fates. Has overlapping functions with PHABULOSA, REVOLUTA and CORONA/ATHB15 in patterning the apical portion of the embryo. Encodes a member of HD-Zip family which contains homeodomain-leucine zipper domains and domain similar to a mammalian sterol binding domain."
AT2G22770,primary,leaf_auc,16,8.535279323838395,-0.8638707268824695,1.608476468949183e-05,0.0028894867743344,NAI1,regulates the development of ER bodies. also involves in response to the endophytic fungus Piriformospora indica.
AT3G51075,primary,leaf_auc,16,8.394953180888491,0.8638707268824695,1.608476468949183e-05,0.0028894867743344,,
AT5G22390,primary,leaf_auc,16,8.320046509486701,0.8638707268824695,1.608476468949183e-05,0.0028894867743344,,
AT5G24400,primary,leaf_auc,16,10.095593451514407,0.8638707268824695,1.608476468949183e-05,0.0028894867743344,EMB2024|PGL3,"Encodes a protein with 6-phosphoglucunolactonase activity that localizes to the chloroplasts and the peroxisome. However, mutant phenotypes observed in pgl3 mutant plants can be complemented with a chloroplast-targeted version of the protein. PGL3 likely functions in the oxidative branch of the pentose phosphate pathway. pgl3 mutant phenotypes suggest that it is important in pathogen defense and maintenance of cellular redox homeostasis."
AT3G54340,primary,leaf_auc,16,5.921142540495655,0.8627455574543496,1.6985646400724824e-05,0.0029667835020021,AP3|ATAP3,Floral homeotic gene encoding a MADS domain protein homologous to SRF transcription factors. Specifies petal and stamen identities. Associates with PISTILLATA.
AT1G01030,primary,leaf_auc,16,7.88954479911733,-0.8623990561382063,1.727146304229378e-05,0.0029667835020021,NGA3,
AT1G13950,primary,leaf_auc,16,7.323997932223464,0.8623990561382063,1.727146304229378e-05,0.0029667835020021,ATELF5A-1|EIF-5A|EIF5A|ELF5A-1,"Encodes eukaryotic translation initiation factor 5A (EIF-5A).In mammalian cells it functions as a shuttle protein that translocates mRNA from the nucleus to cytoplasmic ribosomes. Overexpression results in an increase in both primary and secondary xylem formation. In RNAi suppressed lines, xylem formation is reduced."
AT2G23610,primary,leaf_auc,16,11.405759414086663,0.8623990561382063,1.727146304229378e-05,0.0029667835020021,ATMES3|MES3,"Encodes a protein shown to have carboxylesterase activity, methyl IAA esterase activity, and methyl jasmonate esterase activity in vitro. This protein does not act on methyl salicylate, MeGA4, or MEGA9 in vitro."
AT5G42520,primary,leaf_auc,16,11.018032368989214,-0.8623990561382063,1.727146304229378e-05,0.0029667835020021,ATBPC6|BBR/BPC6|BPC6,
AT5G43300,primary,leaf_auc,16,9.240540302569512,-0.8623990561382063,1.727146304229378e-05,0.0029667835020021,AtGDPD3|GDPD3,
AT2G45270,primary,leaf_auc,16,9.461024765792445,0.8609273853939431,1.853082196833036e-05,0.0030928073289412,GCP1,Mitochondrial protein essential for embryo development.
AT3G09160,primary,leaf_auc,16,7.623326963391301,-0.8609273853939431,1.853082196833036e-05,0.0030928073289412,,
AT4G13690,primary,leaf_auc,16,7.690982720652133,-0.8609273853939431,1.853082196833036e-05,0.0030928073289412,,
AT5G11330,primary,leaf_auc,16,11.550866092399389,-0.8609273853939431,1.853082196833036e-05,0.0030928073289412,,
AT5G44630,primary,leaf_auc,16,5.919323552274921,0.8607544580103635,1.8683735031597345e-05,0.0030963685668914,,Encodes a sesquiterpene synthase involved in generating all of the group B sesquiterpenes found in the Arabidopsis floral volatile blend.  Strongly expressed in intrafloral nectaries.
AT1G70260,primary,leaf_auc,16,8.754220925845848,0.85945571464968,1.986637826611243e-05,0.0032242446878374,RTP1|UMAMIT36,
